event_id_memoria,source_event_id,source,origin_time_utc,latitude,longitude,depth_km,magnitude_value,magnitude_type,magnitude_original_value,magnitude_original_type,magnitude_comparable,magnitude_homogenization_method,magnitude_conversion_equation,magnitude_conversion_uncertainty,magnitude_homogenization_status,intensity_max,location_text,felt,location_uncertainty_km,magnitude_uncertainty,tectonic_domain,domain_confidence,historical_quality,quality_score,record_status,source_url,source_file,duplicate_group_id,is_preferred_record,cluster_id,cluster_role,is_background_event,declustering_method,declustering_eligible,declustering_exclusion_reason,ingested_at_utc
MEM-33FC5D6EECF61161,MEM-33FC5D6EECF61161,IPMA,2026-08-28 03:26:33+00:00,38.8,-7.931,17.0,,L,,L,,,,,,,NE Arraiolos,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-703F0F69D52E3B76,MEM-703F0F69D52E3B76,IPMA,2026-08-29 02:03:19+00:00,38.763,-7.982,11.0,,L,,L,,,,,,,NE Arraiolos,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-D1F9ACD89F992CE2,MEM-D1F9ACD89F992CE2,IPMA,2026-08-02 16:30:50+00:00,38.781,-7.98,11.0,0.5,L,0.5,L,0.5,,,,,,NE Arraiolos,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-B5500BDAD3BB58DD,MEM-B5500BDAD3BB58DD,IPMA,2026-08-02 20:45:22+00:00,37.711,-8.36,20.0,0.3,L,0.3,L,0.3,,,,,,NW Ourique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-3426091C9C968993,MEM-3426091C9C968993,IPMA,2026-08-02 21:08:35+00:00,37.315,-8.56,9.0,0.7,L,0.7,L,0.7,,,,,,NE Monchique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-2D97DEF1E9336458,MEM-2D97DEF1E9336458,IPMA,2026-08-03 01:46:59+00:00,33.205,-16.644,9.0,0.8,L,0.8,L,0.8,,,,,,NW Porto Santo (Madeira),,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-D5C0E3EF021AD04E,MEM-D5C0E3EF021AD04E,IPMA,2026-08-03 08:35:16+00:00,42.0,-8.362,23.0,0.9,L,0.9,L,0.9,,,,,,SE Monção,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-19248BA8D76DC822,MEM-19248BA8D76DC822,IPMA,2026-08-03 09:06:17+00:00,41.988,-8.359,21.0,0.8,L,0.8,L,0.8,,,,,,SE Monção,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-2580AE721FE66F64,MEM-2580AE721FE66F64,IPMA,2026-08-03 16:03:08+00:00,37.65,-8.841,3.0,0.4,L,0.4,L,0.4,,,,,,NW Odemira,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-3C54F953E4F4EDF5,MEM-3C54F953E4F4EDF5,IPMA,2026-08-03 16:17:53+00:00,37.653,-8.817,0.0,0.7,L,0.7,L,0.7,,,,,,NW Odemira,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-A598398DE1451CD7,MEM-A598398DE1451CD7,IPMA,2026-08-03 17:04:11+00:00,39.018,-9.074,5.0,0.9,L,0.9,L,0.9,,,,,,N  Arruda dos Vinhos,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-9F96D30ED8877049,MEM-9F96D30ED8877049,IPMA,2026-08-04 03:43:42+00:00,38.387,-8.057,3.0,0.5,L,0.5,L,0.5,,,,,,NW Viana do Alentejo,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-6FD64BF2CD821478,MEM-6FD64BF2CD821478,IPMA,2026-08-04 10:12:35+00:00,37.957,-8.436,6.0,0.2,L,0.2,L,0.2,,,,,,SE Santiago do Cacém,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-572EAFB1B95B0447,MEM-572EAFB1B95B0447,IPMA,2026-08-04 12:27:14+00:00,37.104,-8.167,21.0,0.7,L,0.7,L,0.7,,,,,,NE Albufeira,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-18234D80A45F0DAB,MEM-18234D80A45F0DAB,IPMA,2026-08-04 12:28:49+00:00,37.273,-8.525,7.0,0.7,L,0.7,L,0.7,,,,,,SE Monchique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-818D5088F9D2F721,MEM-818D5088F9D2F721,IPMA,2026-08-04 19:58:13+00:00,41.047,-8.027,4.0,0.7,L,0.7,L,0.7,,,,,,SE Cinfães,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
